java_file,rust_file,target_crate,rust_type,capability,status,test_evidence,source_commit
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/CheckAccount.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_check_account.rs,sa-token-demo-axum-case,CheckAccount,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/SaUserCheckLogin.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_sa_user_check_login.rs,sa-token-demo-axum-case,SaUserCheckLogin,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/SaUserCheckPermission.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_sa_user_check_permission.rs,sa-token-demo-axum-case,SaUserCheckPermission,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/SaUserCheckRole.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_sa_user_check_role.rs,sa-token-demo-axum-case,SaUserCheckRole,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/SaUserCheckSafe.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_sa_user_check_safe.rs,sa-token-demo-axum-case,SaUserCheckSafe,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/handler/CheckAccountHandler.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_handler_check_account_handler.rs,sa-token-demo-axum-case,CheckAccountHandler,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/handler/SaUserCheckLoginHandler.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_handler_sa_user_check_login_handler.rs,sa-token-demo-axum-case,SaUserCheckLoginHandler,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/handler/SaUserCheckPermissionHandler.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_handler_sa_user_check_permission_handler.rs,sa-token-demo-axum-case,SaUserCheckPermissionHandler,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/handler/SaUserCheckRoleHandler.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_handler_sa_user_check_role_handler.rs,sa-token-demo-axum-case,SaUserCheckRoleHandler,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-demo/sa-token-demo-case/src/main/java/com/pj/satoken/custom_annotation/handler/SaUserCheckSafeHandler.java,crates/sa-token-demo/sa-token-demo-axum-case/src/scenario/sa_token_demo_case_com_pj_satoken_custom_annotation_handler_sa_user_check_safe_handler.rs,sa-token-demo-axum-case,SaUserCheckSafeHandler,demo,complete,crates/sa-token-demo/sa-token-demo-axum-case/tests/demo_compile_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
